transaction_id,user_id,transaction_amount,transaction_timestamp,user_location,merchant_location,merchant_category,device_id,device_type,payment_method,account_balance,transaction_status,ip_address,amt
TXN-6F32EB4545C7,USR0077,2301.3501671533645,2024-03-18T08:01:24.942704,BOM,PNQ,Electronics,DEV-C14E2CFB,ATM,UPI,52278.1,success,192.98.123.246,
TXN-BEFEEECFD256,USR0003,465.85,1716809200,luc#,lucknow,Grocery,N/A,ATM,UPI,39707.03,success,192.115.151.232,
TXN-D14FECEAA7AA,USR0079,5949.51,"April 06, 2024 04:17 AM",jaipur,jaipur,Grocery,DEV-87BECBE5,web,Card,145397.34,success,192.112.125.57,
TXN-A2AE9DF60060,USR0056,₹1771,11-Apr-2024,ahmedabad,LKO,Education,DEV-F4FFC84A,mobile,Wallet,182326.51,success,192.58.7.29,
TXN-D1781D9F761D,USR0056,2024.4956,1713215881,HYDERABAD,hyderabad,Clothing,DEV-F4FFC84A,mobile,,172505.37,success,192.58.7.236,
TXN-4D41B0400AE5,USR0038,5270.996249416241,08-Apr-2024,lucknow,LKO,Travel,,mobile,UPI,0.0,success,192.150.123.16,
TXN-3DE451C39D8B,USR0073,8569.09,1715845224,Bangalore,BLR,Utilities,DEV-000C2DCA,ATM,Card,9272.34,success,192.71.197.134,
TXN-1AC98080E785,USR0036,894.77,22/02/2024 01:41:48,MAA,Madras,Fuel,DEV-208E1804,ATM,Wallet,93184.44,success,192.246.188.197,
TXN-E98D6683B297,USR0025,4.0,2024-05-21T14:48:57,CCU,Kolkata,Food & Di#,N/A,ATM,Card,2858.64,failed,192.80.103.221,
TXN-7035177E7F9F,USR0023,,"February 04, 2024 10:10 PM",Lucknow,LKO,Food & Dining,DEV-58413333,ATM,Card,0.0,success,192.197.33.118,
TXN-B48E03C513AE,USR0073,6.08,2024-04-13T00:35:45,Bangalore,Bengaluru,Utilities,CNP-58E2F28D,ATM,Card,0.0,success,192.71.197.96,
TXN-E4ECB1E6FDCB,USR0061,1487 INR,2024-04-17T09:51:57.661861,HYDERABAD,Hyderabad,Utilities,DEV-B60819A7,web,Card,101686.85,success,192.111.18.66,
TXN-EECCDCB9905F,USR0004,5659.859060974421,21/04/2024 09:29:37,Madras,Chennai,Fuel,DEV-965CDF83,web,Wallet,0.0,success,192.72.40.68,
TXN-F2FBB1DD9D91,USR0040,7825.369565788999,20240407190319,delhi,delhi,Utilities,DEV-12899003,ATM,Card,0.0,failed,192.153.11.246,
TXN-6ED2C063DECE,USR0051,439.95140562750447,20240524041105,jaipur,jaipur,Clothing,DEV-13AD99F3,ATM,Card,73726.38,success,192.33.11.176,
TXN-7A7F208E368F,USR0071,4935.69,08/05/2024 18:58:51,Jaipur,Jaipur,Electronics,DEV-52E838A1,mobile,,27587.71,success,192.206.119.51,
TXN-1A9135A3CF16,USR0055,2028.5107198713692,1710859519,hyderabad,Hyderabad,Education,DEV-242A283D,mobile,Wallet,154694.84,success,,
TXN-EC291BC93CEE,USR0012,1680 INR,2024-04-03T12:58:55.823130,MUMBAI,Bombay,Entertainment,DEV-0ED55337,ATM,Wallet,6018.74,success,192.17.55.138,
TXN-7D7987651B9A,USR0012,1825.91,20240505023443,HYDERABAD,hyderabad,Utilities,DEV-0ED55337,web,UPI,0.0,success,192.17.55.224,
TXN-7787C9FC1D78,USR0039,11497.202120571128,2024-01-19T15:34:26.284642,Jaipur,Jaipur,Grocery,DEV-FA6637A2,web,UPI,97072.39,success,192.18.153.231,
TXN-13955A6B51C9,USR0025,6564.279558668339,1712719721,Jaipur,Jaipur,Clothing,DEV-1762E520,ATM,UPI,79926.4,success,192.80.103.73,
TXN-B4CD123FD672,USR0078,,1705327010,MUMBAI,mUMBAI,Entertainment,DEV-D52E756E,ATM,Wallet,46861.9,success,192.192.189.185,8290.453891272373
TXN-CAA0AE9D8E53,USR0079,7535.88,20240416193829,jaipur,LKO,Food & Dining,DEV-44B1186B,web,Card,90047.88,success,192.112.125.222,
TXN-079A8469C159,USR0077,1887.186981937342,2024-03-20T05:58:11.145606,Mumbai,mumbai,Travel,DEV-C14E2CFB,mobile,Wallet,48148.35,success,192.98.123.173,
TXN-2CE7727D8B0C,USR0068,1493.54,1705012017,Hyderabad,hyderabad,Education,DEV-E82A3776,ATM,Wallet,3908.43,success,192.107.227.108,
TXN-4D5FBC01A8FF,USR0061,819.4590564494981,01/05/2024 13:52:46,Hyderabad,HYDERABAD,Clothing,DEV-B60819A7,web,UPI,94965.26,success,192.111.18.253,
TXN-F66ADADDD933,USR0004,9037.29,1713673092,MAA,Chennai,Utilities,DEV-965CDF83,web,Card,0.0,failed,192.72.40.85,
TXN-94404DDD7612,USR0025,4234.601706134168,2024-04-05T00:33:19.207446,Calcutta,Kolkata,Electronics,DEV-1762E520,ATM,Wallet,108805.9,success,192.80.103.166,
TXN-7923B7F8A584,USR0079,Rs 742,04-06-2024 22:33,jaipur,jaipur,Education,N/A,mobile,NetBanking,139136.87,success,192.112.125.234,
TXN-E5042440CC39,USR0075,3037.9500664799402,21-Apr-2024,Madras,Chennai,Electronics,DEV-ED93D48C,mobile,Card,139166.51,failed,192.60.99.224,
TXN-2319987DBA60,USR0020,5629.7,"March 27, 2024 07:21 PM",jaipur,jaipur,Fuel,N/A,mobile,UPI,124333.76,success,192.96.196.23,
TXN-6908DFB1AE00,USR0052,2379.113002413968,20240222132444,MAA,MAA,Entertainment,DEV-3F4D7EA5,mobile,NetBanking,174557.45,success,192.175.64.130,
TXN-B4CAAE8D3BFE,USR0012,23581.85,19/03/2024 08:42:14,mumbai,MUMBAI,Electronics,DEV-DB1F34D7,web,Card,0.0,success,192.17.55.217,
TXN-8D79241FAA55,USR0035,7073.260301829298,2024-02-18T12:55:29.520985,Kolkata,Lucknow,Entertainment,DEV-EBE4B397,mobile,Wallet,138776.11,success,192.253.100.110,
TXN-48555702D12E,USR0031,4480.648183815599,2024-02-20T23:04:51.045072,BOM,BOM,Electronics,DEV-A686371D,web,NetBanking,183905.68,success,,
TXN-9DFE1EFFDEB1,USR0042,2347.5,20240524103706,pune,Pune,Travel,DEV-C99E4D4E,web,NetBanking,57834.69,success,192.81.238.227,
TXN-E95E0A76E61E,USR0074,6145.947242813789,14/02/2024 13:02:26,jaipur,jaipur,Grocery,DEV-C6AEF8D2,ATM,Card,30341.98,success,192.74.61.78,
TXN-E8333D1E96ED,USR0001,516.36,"April 05, 2024 02:12 AM",New Delhi,New Delhi,Electronics,DEV-CEAEBD15,ATM,Card,56423.09,pending,192.27.174.79,
TXN-62BE30587ECA,USR0035,6480.067639344244,1707636081,hyderabad,HYD,Entertainment,DEV-EBE4B397,mobile,UPI,174496.29,success,,
TXN-D014D0430E9B,USR0069,2347.7209736185287,24/02/2024 21:32:14,Lucknow,lucknow,Food & Dining,DEV-A93E7FCB,ATM,Wallet,121254.88,success,192.38.168.251,
TXN-950664A157AE,USR0050,5478.571300148107,15-Jun-2024,Jaipur,JAI,Fuel,DEV-C5C9E23E,ATM,UPI,83237.06,success,192.232.39.224,
TXN-320F73043FC9,USR0008,,20240405124405,DELHI,New Delhi,Fuel,DEV-E542488C,mobile,UPI,45793.96,failed,192.222.26.115,716.632365664951
TXN-906872520C25,USR0015,3332.0230952051616,12/03/2024 22:13:21,Lucknow,LKO,Healthcare,DEV-9F7F3472,web,Card,40823.03,success,192.194.13.163,
TXN-EB68058DC0A0,USR0020,8473.215898321623,2024-04-23T08:10:00.910855,JAI,Jaipur,Electronics,DEV-175B1F96,mobile,NetBanking,52040.04,success,,
TXN-0E71EF84C6E7,USR0015,5803.3695796793945,2024-04-04T13:30:45.414384,LKO,lucknow,Fuel,DEV-9F7F3472,mobile,Card,6177.26,success,999.168.1.1,
TXN-3687803AB802,USR0059,1682.5920441498774,13/03/2024 18:15:22,Chennai,CHENNAI,Clothing,DEV-89FDC019,mobile,UPI,N/A,success,192.153.112.137,
TXN-DD550AB2B0D1,USR0037,4845.14,10/02/2024 17:17:39,JAI,jaipur,Utilities,DEV-615F277B,mobile,NetBanking,86027.5,success,192.248.15.135,
TXN-0403C433903E,USR0041,₹695,2024-02-18T04:13:22.933755,Lucknow,lucknow,Clothing,DEV-C0D17BBA,web,Wallet,118109.53,success,nan,
TXN-92A513504A9A,USR0030,1817.69,01/06/2024 12:45:59,Calcutta,Kolkata,Grocery,DEV-03C732B7,web,NetBanking,15809.41,success,192.106.120.135,
TXN-F4552914AEA6,USR0055,3410.9358804359135,1712441088,HYDERABAD,Hyderabad,Food & Di...,DEV-242A283D,mobile,NetBanking,131787.9,success,192.220.121.207,
TXN-4107B99A1898,USR0016,1141.5366197816643,04-Mar-2024,Delhi,delhi,Healthcare,DEV-DAA00FDD,ATM,Wallet,33659.87,success,192.17.99.138,
TXN-7328704A8992,USR0018,3970.180240649178,25/01/2024 19:34:14,Jaipur,JAI,Healthcare,DEV-A4E6DB8C,mobile,UPI,58751.92,success,192.112.41.64,
TXN-BD24BAF78EAE,USR0052,2306.7,1711181147,CHENNAI,MAA,Education,DEV-3F4D7EA5,web,UPI,133902.47,failed,192.175.64.212,
TXN-4150FCE77C91,USR0070,8727.904910170122,2024-04-09T08:15:30.995349,Mumbai,Bombay,,DEV-2D7B3E2A,mobile,Wallet,127016.95,success,192.46.206.220,
TXN-B8C2CBA7CE7E,USR0012,2454.069454006413,2024-04-15T19:11:31.503846,MUMBAI,Bombay,Travel,DEV-0ED55337,web,Wallet,1768.9,failed,192.17.55.105,
TXN-0ED6FA63C38E,USR0048,4268.1221819237335,"February 01, 2024 01:39 AM",chennai,JAI,Utilities,DEV-D7256DA2,ATM,UPI,27282.59,success,192.109.213.129,
TXN-734F0336FE2A,USR0055,2729.066682506602,30/03/2024 06:30:12,Hyderabad,HYD,Entertainment,DEV-242A283D,mobile,Wallet,142482.98,success,192.220.121.246,
TXN-41EDDF260CD4,USR0074,4336.52,2024-03-15T23:08:43,Ahmedabad,Jaipur,NA,ATO-CB533102,ATM,Wallet,N/A,success,78.232.184.114,
TXN-4B073E64CA66,USR0011,1178.52,01-02-2024 08:31,New York,New York,Clothing,DEV-717C56C8,ATM,Card,0.0,success,24.237.144.20,
TXN-1E0EA32DD4DC,USR0025,9702.0300,2024-05-26T18:26:05,AMD,CCU,Entertainment,ATO-4F98CCDB,ATM,NetBanking,2858.64,success,115.96.139.102,
TXN-E3E81B7A2FAB,USR0039,9190.45416508176,"January 29, 2024 03:41 AM",jaipur,Jaipur,Fuel,NEW-BB41D10C,mobile,UPI,2198.41,success,2.206.28.209,
TXN-8F9B5C9B14CD,USR0059,1448.5288,1709985966,MAA,Chennai,Education,DEV-5F99A6B9,mobile,Wallet,191245.66,success,192.153.112.54,
TXN-70E67569138E,USR0023,7106.7335,01-Feb-2024,lucknow,LKO,Grocery,DEV-9D08D512,ATM,UPI,0.0,success,192.197.33.27,
TXN-986EFB100140,USR0041,722.3972814545424,18-Feb-2024,New Delhi,DEL,Clothing,DEV-95E78842,web,Wallet,117387.13,success,192.53.172.178,
TXN-EE4224BDB7AF,USR0033,,2024-02-07T18:37:34.565783,AMD,AMD,Travel,DEV-EA6AF635,mobile,Wallet,177866.52,success,192.167.139.130,3691.8605930499307
TXN-28B3834385D5,USR0018,,28/02/2024 06:04:10,BENGALURU,Madras,Travel,ATO-7EB772E9,web,Wallet,45778.37,success,246.82.124.200,
TXN-97973CCA097A,USR0048,6190.244091883042,2024-02-07T00:16:50.388854,CHENNAI,Madras,Healthcare,DEV-D7256DA2,mobile,UPI,11946.2,success,192.109.213.184,
TXN-EB460262B05C,USR0025,9554.0091,20240411145023,Lucknow,Lucknow,Entertainment,DEV-F6295517,ATM,Card,52462.34,success,192.80.103.22,
TXN-7332338C8248,USR0075,3259.99,2024-04-22T15:48:47.584647,CHENNAI,LKO,Clothing,DEV-ED93D48C,mobile,Card,135906.51,success,192.60.99.179,
TXN-5D155B261976,USR0023,11004.74728073396,1708160632,lucknow,Lucknow,Entertainment,DEV-58413333,ATM,Card,0.0,success,192.197.33.129,
TXN-DDB8B3C8B883,USR0050,5305.0,20240622082637,JAI,JAI,Travel,DEV-C5C9E23E,ATM,UPI,65179.53,success,192.232.39.149,
TXN-CAE3CEF0784C,USR0044,2957.23,03-24-2024 14:32,JAI,Jaipur,Utilities,DEV-C2F0F24E,web,UPI,155891.38,success,192.73.41.217,
TXN-240B916A1E4B,USR0043,,06-01-2024 06:11,DEL,ahmedabad,Electronics,DEV-54FFCBDF,ATM,UPI,123122.95,success,,147.6352912762922
TXN-71A3D3C11535,USR0018,4490.3696653367915,2024-01-19T10:03:59.304156,jaipur,JAI,Travel,DEV-A4E6DB8C,web,UPI,87303.57,success,192.112.41.98,
TXN-754DC1BE827B,USR0027,5694.079446540004,1715535011,Bombay,mUMBAI,Electronics,DEV-E7B94D4C,mobile,Wallet,25584.56,success,192.182.162.212,
TXN-A297229F0153,USR0041,865.2664493113584,15/02/2024 08:57:26,lucknow,lucknow,Fuel,DEV-95E78842,web,Wallet,119530.69,success,192.53.172.87,
TXN-CF583A5E9DB3,USR0069,2009.92,2024-02-20T06:15:08.082670,LKO,Lucknow,Fuel,DEV-8657F3E2,web,Wallet,124499.6,success,192.38.168.220,
TXN-3BC51BCDBDB8,USR0075,3356.8681873675223,31/03/2024 21:38:44,Chennai,MAA,Healthcare,DEV-ED93D48C,mobile,Card,175783.36,success,192.60.99.100,
TXN-7D5B9E0D9718,USR0075,4083.9588498975654,1712874838,Madras,Madras,Grocery,DEV-ED93D48C,web,UPI,156515.79,success,192.60.99.157,
TXN-E9A64F251528,USR0017,2840.4169235275053,2024-03-27T06:56:35.098911,kolkata,kolkata,Fuel,DEV-BFA447A1,ATM,UPI,46583.39,success,192.185.30.142,
TXN-ACCFEE13F686,USR0063,4167.93,03-12-2024 06:24,AMD,Ahmedabad,Travel,DEV-F8951EBE,mobile,NetBanking,117549.23,success,192.108.171.152,
TXN-7C70E7EB6999,USR0009,930.3462410992847,2024-02-13T15:45:40,kolkata,Calcutta,Food & Dining,NEW-0612D0EB,mobile,Card,97361.27,success,182.255.235.6,
TXN-716BAD965EC0,USR0063,3666 INR,03-15-2024 07:59,kolkata,kolkata,Fuel,DEV-58A9E1DE,ATM,Wallet,111163.14,success,192.108.171.222,
TXN-4364823D53C7,USR0056,2286.02,2024-04-14T22:40:33.060733,Hyderabad,Hyderabad,Education,DEV-F4FFC84A,web,NetBanking,174529.87,success,192.58.7.105,
TXN-E6D302890510,USR0038,5825.41166814319,2024-04-01T06:21:57.090832,LKO,ahmedabad,Electronics,DEV-CDC766D7,mobile,UPI,0.0,pending,192.150.123.206,
TXN-C0866270A745,USR0057,1289.27,1706582280,MUMBAI,mumbai,Entertainment,DEV-12??,web,NetBanking,36428.44,success,192.165.131.162,
TXN-6C48FEAB8423,USR0055,1097.8112145310938,1712107244,Hyderabad,HYD,Electronics,DEV-242A283D,ATM,Wallet,139531.37,failed,192.220.121.225,
TXN-D392F62FAE94,USR0034,9591.131232575024,1716966312,mumbai,mUMBAI,Entertainment,DEV-836F382E,web,Card,152687.17,success,192.125.124.79,
TXN-5E22667CEB57,USR0077,1829.603273618352,2024-03-15T17:43:32.421574,mumbai,BOM,Utilities,DEV-4F3D6DB0,ATM,NetBanking,59121.79,success,192.98.123.241,
TXN-320F73043FC9,USR0008,,20240405124405,DELHI,New Delhi,Fuel,DEV-E542488C,mobile,UPI,45793.96,failed,192.222.26.115,716.632365664951
TXN-AEDC46E50C49,USR0001,412.61338206207245,2024-04-18T01:12:29.197589,DELHI,Kolkata,Electronics,DEV-CEAEBD15,ATM,Card,52707.78,success,192.27.174.206,
TXN-8D1891B45684,USR0065,2446.461952498365,2024-03-16T19:59:12.062567,CHENNAI,chennai,Travel,N/A,mobile,,35307.28,success,192.114.114.174,
TXN-0C19294A1EE0,USR0025,6101.89,1712455261,Kolkata,kolkata,Healthcare,DEV-46B058CE,mobile,Card,102704.01,success,192.80.103.14,
TXN-DA0A04F01FD8,USR0072,,2024-06-15T12:47:08.217812,jaipur,Jaipur,Education,DEV-47E72641,ATM,UPI,96181.92,success,192.115.230.230,6667.08
TXN-766AF827112E,USR0056,2930.06,23-Apr-2024,HYD,HYDERABAD,Clothing,DEV-F4FFC84A,mobile,UPI,164250.71,success,192.58.7.201,
TXN-710399B86F88,USR0051,445.04474153343915,20240514072914,JAI,JAI,Healthcare,DEV-C29FAB25,web,Wallet,76188.33,success,192.33.11.117,
TXN-EC81BB70AD98,USR0044,3758.5693245272287,"March 15, 2024 06:36 PM",jaipur,JAI,Entertainment,DEV-C2F0F24E,web,Card,175254.83,success,192.73.41.96,
TXN-655DB0872C1D,USR0013,,1718698306,Lucknow,Lucknow,Fuel,DEV-3010604A,mobile,UPI,0.0,success,192.227.235.24,6621.808751413823
TXN-431E118C90D1,USR0003,275.3640906864508,20240531162542,L??,Lucknow,Education,DEV-52611F7,mobile,Wallet,36726.43,failed,192.115.151.100,
TXN-7016511F03AE,USR0061,2294.14,1713740457,Hyderabad,Calcutta,Utilities,DEV-B60819A7,web,Card,99392.72,success,192.111.18.183,
TXN-5E5823518181,USR0046,11542.49212491253,1708109966,MAA,chennai,Electronics,DEV-D544AFBB,mobile,NetBanking,0.0,success,192.228.28.113,
TXN-30927715FAD2,USR0008,560.3292513511853,27/03/2024 01:31:43,Delhi,New Delhi,Enterta#,DEV-E542488C,mobile,UPI,48246.34,success,192.222.26.163,
TXN-2FB8BE9F64AE,USR0012,₹2421,2024-05-02T06:57:50.316719,MUMBAI,mUMBAI,Clothing,DEV-0ED55337,web,nan,0.0,success,192.17.55.85,
TXN-FC51C2FA1732,USR0039,7954.76,"January 29, 2024 09:44 AM",ahmedabad,AMD,Grocery,DEV-FA6637A2,mobile,UPI,25153.09,success,192.18.153.149,
TXN-61220A2F25EB,USR0033,1815.301078164518,2024-02-11T13:05:32.514705,Ahmedabad,Ahmedabad,Healthcare,DEV-7E39F756,mobile,NA,177866.52,failed,192.167.139.197,
TXN-7C1E8FA055DC,USR0060,5403.394798487688,"February 07, 2024 03:27 AM",PNQ,Calcutta,Grocery,DEV-71258679,web,UPI,14395.73,success,192.231.148.103,
TXN-0CAD73EEE929,USR0073,8250.87,05-20-2024 18:50,bangalore,ahmedabad,Education,DEV-441223C2,ATM,Card,0.0,success,192.71.197.146,
TXN-405D50B1A496,USR0041,463.4985961963335,2024-02-04T15:24:02.660371,lucknow,Lucknow,Clothing,DEV-95E78842,web,NetBanking,123853.32,success,192.53.172.248,
TXN-7AC27F080E90,USR0074,1420.71,1707204786,Jaipur,jaipur,Entertainment,NA,ATM,UPI,50232.23,success,192.74.61.178,
TXN-3FD611062E62,USR0017,838.8,03-18-2024 23:48,CCU,Calcutta,Food & Dining,DEV-A230C5C8,mobile,UPI,85880.05,success,192.185.30.18,
TXN-3EAF5ABAB4CE,USR0028,2470.733173197928,1711732984,mumbai,mumbai,Travel,DEV-382FE1B8,ATM,UPI,153329.28,success,192.61.72.129,
TXN-710E98D45B16,USR0076,6160.743850935096,2024-05-08T22:02:00.837722,BENGALURU,Pune,Entertainment,DEV-85FA2A2D,ATM,NetBanking,0.0,success,192.120.107.158,
TXN-8D585874A007,USR0032,2981.910153338882,2024-04-02T21:14:43.399574,delhi,delhi,Healthcare,DEV-221153D0,mobile,Card,39750.77,failed,192.47.72.84,
TXN-CB2F1E31C3AE,USR0062,6786.834942422122,2024-02-25T03:23:58.113546,Pune,PNQ,Clothing,DEV-5877E23E,ATM,nan,84729.94,success,192.80.171.114,
TXN-4D603874F4BC,USR0036,3623.39,1708729485,Madras,Chennai,Education,DEV-52192FFB,ATM,Wallet,79260.23,failed,192.246.188.2,
TXN-8A81AF410A91,USR0009,6017.800504842885,03/02/2024 05:45:05,Kolkata,kolkata,Clothing,DEV-899D78E3,web,Wallet,117228.5,success,192.91.54.159,
TXN-C4B603217CB8,USR0079,5752.185009113819,2024-04-11T13:44:16.676024,Jaipur,jaipur,Food & Dining,NA,mobile,Card,120224.78,success,192.112.125.78,
TXN-F1EFC2D30AAE,USR0024,4771.06,05-18-2024 02:53,Bangalore,Bengaluru,Education,NA,ATM,Wallet,184864.43,success,192.224.156.173,
TXN-7DADD7A8A7F7,USR0049,752.007997693898,2024-04-26T19:31:52.598050,MAA,Chennai,Travel,DEV-A8A957CE,mobile,NetBanking,66148.81,success,192.190.114.41,
TXN-9CE6A1E054B0,USR0052,3749.6924517353787,01/03/2024 17:10:08,chennai,CHENNAI,C#,,mobile,NetBanking,164260.73,success,192.175.64.204,
TXN-E6B41100A7AE,USR0040,5957.458442578099,20240406203044,New Delhi,DELHI,,DEV-12899003,ATM,Card,0.0,success,192.153.11.3,
TXN-97F9B88B6763,USR0079,104680.62,2024-04-12T20:54:58,Jaipur,Jaipur,Travel,DEV-44B1186B,mobile,Card,41607.48,success,192.112.125.214,
TXN-A43B718B1B59,USR0077,1932.8131145119924,22/03/2024 22:20:55,mumbai,Bombay,nan,DEV-C14E2CFB,web,,43278.69,success,192.98.123.31,
TXN-447DD3D0EC57,USR0023,9739.49,09-Jun-2024,lucknow,LKO,Electronics,DEV-9D08D512,ATM,NetBanking,0.0,success,192.197.33.105,
TXN-A580BBFEB141,USR0038,4331.98008248605,14/03/2024 20:33:48,lucknow,LKO,Clothing,DEV-2BCD5E08,mobile,UPI,4931.76,success,192.150.123.225,
TXN-D02E65384576,USR0052,2342.257766866463,19/02/2024 13:21:31,CHENNAI,CHENNAI,Entertainment,DEV-3F4D7EA5,mobile,NetBanking,176937.56,success,192.175.64.5,
TXN-9365FD2305B9,USR0068,1411.45,04/01/2024 21:12:15,Kolkata,Kolkata,Electronics,DEV-A5173712,web,Card,12600.23,success,192.107.227.236,
TXN-BC8837FA5708,USR0069,1628.336114678946,20240216092959,LKO,Lucknow,Utilities,DEV-8657F3E2,ATM,Card,132153.54,success,192.38.168.247,
TXN-19A8CA392CEC,USR0079,7954.842880389731,2024-04-11T17:44:18.371676,jaipur,jaipur,Fuel,DEV-87BECBE5,web,Card,112269.94,success,N/A,
TXN-00714C5049CD,USR0070,2339.53,1712068964,Bombay,LKO,Grocery,DEV-2D7B3E2A,mobile,Wallet,159284.86,success,192.46.206.54,
TXN-458A536EAEB9,USR0028,738.5189852647627,2024-03-24T01:19:47.107873,mumbai,mUMBAI,Healthcare,DEV-2F256875,ATM,UPI,162493.11,success,192.61.72.189,
TXN-5878B2D57BD9,USR0026,1142.785444168505,1718290421,pune,Pune,Fuel,DEV-B73DE612,mobile,Card,86081.44,success,N/A,
TXN-655DB0872C1D,USR0013,,1718698306,Lucknow,Lucknow,Fuel,DEV-3010604A,mobile,UPI,0.0,success,192.227.235.24,6621.808751413823
TXN-654282C24F5F,USR0048,4836.453302801979,31/01/2024 05:24:19,Madras,ahmedabad,Grocery,DEV-D7256DA2,ATM,Card,36617.98,success,192.109.213.165,
TXN-2037C22CD34A,USR0025,5319.5009,28/03/2024 15:03:54,Kolkata,Calcutta,Entertainment,DEV-F6295517,ATM,Card,,success,192.80.103.246,
TXN-F4DED8F9A827,USR0040,5549.758724049497,2024-04-01T19:37:04.396300,New Delhi,Delhi,Travel,DEV-12899003,web,Card,20840.13,success,not_an_ip,
TXN-8030C8CF2E78,USR0005,7076.386144209511,2024-03-09T17:07:41.021488,Hyderabad,Hyderabad,Entertainment,DEV-9571BDB8,mobile,Wallet,1230.2,success,192.92.217.95,
TXN-0D16C94E177D,USR0038,7622.99,2024-03-13T00:34:58.827911,lu#,LKO,Healthcare,DEV-2BCD5E08,mobile,UPI,9263.74,success,192.150.123.153,
TXN-B29C8027258F,USR0011,2728.37849144499,"March 15, 2024 08:11 PM",Bengaluru,Bangalore,Healthcare,DEV-086A0CC9,ATM,Card,25667.28,success,192.84.216.247,
TXN-0C6BF7F6B2A8,USR0032,1178.69,2024-04-04T10:56:34.776181,delhi,New Delhi,Grocery,DEV-221153D0,web,Card,37794.39,pending,192.47.72.159,
TXN-A77AA1B67A6C,USR0045,₹7457,2024-01-12T14:21:55.812064,Ahmedabad,ahmedabad,Entertainment,DEV-A65DCC48,ATM,UPI,,failed,192.210.142.70,
TXN-312CC9C500D4,USR0063,1731.7056107645508,17-Mar-2024,CCU,Calcutta,Education,DEV-AE23C205,mobile,Card,103772.87,success,192.108.171.84,
TXN-D2E99DF5B626,USR0074,5300.333147003685,"February 07, 2024 09:37 AM",jaipur,Jaipur,Utilities,DEV-C6AEF8D2,ATM,UPI,42166.25,success,192.74.61.33,
TXN-66ECD0F93E65,USR0041,404.73,09/02/2024 17:44:38,Pune,pune,Education,DEV-C0D17BBA,web,Wallet,123448.59,success,192.53.172.31,
TXN-7018DB4D42FB,USR0032,1678106.56,07/04/2024 00:06:36,delhi,Delhi,Grocery,DEV-221153D0,web,nan,33045.63,success,192.47.72.186,
TXN-8ADBE77DEA28,USR0072,9871.11096367115,2024-06-15T14:13:20.035698,JAI,JAI,Entertainment,DEV-8596C063,ATM,Wallet,96181.92,failed,192.115.230.186,
TXN-0931CB8D1B67,USR0062,7145.50510817509,2024-02-27T21:30:36.155151,pune,PNQ,Electronics,DEV-5877E23E,ATM,UPI,80972.03,failed,192.80.171.33,
TXN-CFCA28E54985,USR0077,2334.2250754094994,1710714862,Mumbai,mumbai,Entertainment,DEV-C14E2CFB,web,NetBanking,54579.45,pending,192.98.123.63,
